Abbreviation,FIPS,name,geographytype,year,residentpopulation,percentchangeinresidentpopulatio,popdensity,geoid2,geoid,geodisplaylabel,giniIndex,total_pop,percentNoWeb,percentWithWeb,meanHouseholdSize,percentHsEdu,percentBachelorsEdu,medianHouseholdIncome,meanHouseholdIncome,perCapitaIncome,uninsuredRate,ueRate,percentArmedForces,total_higherEd,percentEnglishOnly,medianAge,percent65andOlder,percentHigherEd,y,x,geoid2_20,idxpopdens
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35235,8600000US35235,ZCTA5 35235,.37810001,8102,18.415207,78.338684,2.4000001,89.900002,25.799999,52175,59745,25636,5.8000002,5.9664741,.076623462,1100,95.685852,40,14.9,5.9171596,5.8000002,25636,35235,1
AK,2,Alaska,State,2010,"710,231",13.3,1.2,99744,8600000US99744,ZCTA5 99744,.3028,62,16.129032,83.870964,1.8200001,97.800003,34.400002,97500,101794,54752,3.5,3.125,0,11,97.222221,50.599998,17.700001,10.185185,3.5,54752,99744,1
AZ,4,Arizona,State,2010,"6,392,017",24.6,56.3,85029,8600000US85029,ZCTA5 85029,.4375,16677,24.938538,71.613602,2.6500001,86.199997,19.4,42853,55098,21947,18.1,8.5825577,0,2181,72.036873,35.799999,12.2,5.2498555,18.1,21947,85029,1
AR,5,Arkansas,State,2010,"2,915,918",9.1000004,56,72348,8600000US72348,ZCTA5 72348,.52139997,1057,41.721855,53.8316,2.4300001,78.400002,7.5,31335,47201,20104,12.2,15.633673,0,55,99.074463,40.400002,18,2.3138409,12.2,20104,72348,1
CA,6,California,State,2010,"37,253,956",10,239.1,93450,8600000US93450,ZCTA5 93450,.45379999,219,71.689499,28.310503,3.8900001,28.299999,9,32969,52423,14268,19.799999,3.8327527,0,6,16.712708,25.4,5.6999998,.82872927,19.799999,14268,93450,0
CO,8,Colorado,State,2010,"5,029,196",16.9,48.5,80480,8600000US80480,ZCTA5 80480,.37990001,580,25.689655,73.275864,2.3,84.599998,17,46307,56695,24522,9.1000004,1.8387552,0,32,83.32003,47.599998,21.4,2.5538707,9.1000004,24522,80480,1
CT,9,Connecticut,State,2010,"3,574,097",4.9000001,738.1,6114,8600000US06114,ZCTA5 06114,.46779999,9436,27.7766,67.062317,2.9400001,66.900002,13.2,36227,49918,17998,14.2,14.620131,0,1447,37.476299,31,8.5,5.599195,14.2,17998,6114,0
DE,10,Delaware,State,2010,"897,934",14.6,460.8,19730,8600000US19730,ZCTA5 19730,.30270001,330,9.090909,90.909088,3.52,95.699997,52.700001,93276,92202,26697,3.2,4.9557524,0,20,94.493004,37.099998,9.6999998,1.7482518,3.2,26697,19730,0
DC,11,District of Columbia,State,2010,"601,723",5.1999998,9856.5,20506,8600000US20506,ZCTA5 20506,,0,,,,,,,,,,,,0,,,100,,,,20506,0
FL,12,Florida,State,2010,"18,801,310",17.6,350.6,34949,8600000US34949,ZCTA5 34949,.5025,3835,11.707953,84.667534,1.8200001,97,41.700001,57238,86454,47707,8.3999996,5.1836939,0,119,92.128365,65.800003,53.400002,1.7124766,8.3999996,47707,34949,0
GA,13,Georgia,State,2010,"9,687,653",18.299999,168.4,30527,8600000US30527,ZCTA5 30527,.38280001,1581,24.098671,73.244781,2.8599999,87.800003,22.6,60336,69705,25181,10.3,6.3886423,.46831957,251,98.317711,43.5,18.5,6.0322037,10.3,25181,30527,0
HI,15,Hawaii,State,2010,"1,360,301",12.3,211.8,96790,8600000US96790,ZCTA5 96790,.47080001,3583,11.387106,87.608147,2.72,98.199997,38,79693,109588,40341,6.5999999,3.5881143,.31792614,393,92.215309,48.400002,19.799999,4.2140255,6.5999999,40341,96790,0
ID,16,Idaho,State,2010,"1,567,582",21.1,19,83806,8600000US83806,ZCTA5 83806,.3716,87,29.885057,51.724136,2.22,87.800003,9.5,34219,40231,19903,14,0,0,1,97.860962,52.099998,19.200001,.53475934,14,19903,83806,1
IL,17,Illinois,State,2010,"12,830,632",3.3,231.1,62649,8600000US62649,ZCTA5 62649,.35879999,157,11.464968,78.343948,3.0599999,88.300003,10,60341,66785,22451,3.3,10.330579,0,32,98.85321,31.299999,9.3999996,7.3394494,3.3,22451,62649,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46723,8600000US46723,ZCTA5 46723,.42829999,3080,21.850649,73.993507,2.46,91.199997,15.1,59167,77303,31501,6.3000002,2.7862327,0,506,98.679222,42.599998,14.8,7.1097374,6.3000002,31501,46723,0
IA,19,Iowa,State,2010,"3,046,355",4.0999999,54.5,52171,8600000US52171,ZCTA5 52171,.36919999,321,23.987539,71.962616,2.76,90.400002,18.5,61534,79012,29936,1,1.6071428,0,17,97.674416,42.700001,21.1,1.9767442,1,29936,52171,1
KS,20,Kansas,State,2010,"2,853,118",6.0999999,34.9,67639,8600000US67639,ZCTA5 67639,.264,73,10.958904,76.712326,1.95,93.5,15.3,45781,47096,23618,0,0,0,0,100,63.599998,47.900002,0,0,23618,67639,1
KY,21,Kentucky,State,2010,"4,339,367",7.4000001,109.9,41745,8600000US41745,ZCTA5 41745,.41780001,131,25.19084,74.809158,2.6400001,74,4,27009,32854,12461,0,30.578512,0,6,100,31.6,14.700001,1.8633541,0,12461,41745,0
LA,22,Louisiana,State,2010,"4,533,372",1.4,104.9,70377,8600000US70377,ZCTA5 70377,.40669999,1539,34.243015,59.389214,3.26,58.799999,4.8000002,42525,49662,16445,20.6,9.8710041,0,40,84.662064,37.700001,12.799999,.83699518,20.6,16445,70377,0
ME,23,Maine,State,2010,"1,328,361",4.1999998,43.1,4294,8600000US04294,ZCTA5 04294,.44119999,1552,24.613401,71.907219,2.6099999,95.300003,23.5,45158,60520,24168,7.0999999,6.7342072,0,111,96.790756,50.900002,24.799999,2.8498075,7.0999999,24168,4294,1
MD,24,Maryland,State,2010,"5,773,552",9,594.8,21162,8600000US21162,ZCTA5 21162,.33309999,1288,12.42236,83.618011,3.1700001,92.400002,32.099998,101250,102196,33809,5.1999998,9.0152569,1.2406948,206,87.503273,40.099998,12.8,5.3969088,5.1999998,33809,21162,0
MA,25,Massachusetts,State,2010,"6,547,629",3.0999999,839.4,1033,8600000US01033,ZCTA5 01033,.4021,2457,15.059015,84.208382,2.5599999,92.599998,38.400002,89965,102005,40222,3.2,4.3809524,.3776435,295,89.764572,45.799999,17.799999,4.9256973,3.2,40222,1033,0
MI,26,Michigan,State,2010,"9,883,640",-.60000002,174.8,49632,8600000US49632,ZCTA5 49632,.33880001,471,21.868364,71.974525,2.5,85.400002,9.3999996,45417,50480,20627,12.5,9.2664089,0,46,94.08503,42.299999,19.1,4.2513862,12.5,20627,49632,0
MN,27,Minnesota,State,2010,"5,303,925",7.8000002,66.59999999999999,55709,8600000US55709,ZCTA5 55709,.39430001,1614,20.941759,75.278809,2.29,93.800003,20.5,56726,68084,28878,5.8000002,8.02139,0,144,97.207481,45.099998,17.799999,4.0212231,5.8000002,28878,55709,1
MS,28,Mississippi,State,2010,"2,967,297",4.3000002,63.2,39114,8600000US39114,ZCTA5 39114,.48710001,3489,46.460304,49.412437,2.75,75.699997,11.3,37770,52788,21393,11.9,8.1479568,0,510,99.483788,38.599998,18.299999,5.7232633,11.9,21393,39114,1
MO,29,Missouri,State,2010,"5,988,927",7,87.09999999999999,64066,8600000US64066,ZCTA5 64066,.3089,11,9.090909,90.909088,3.27,83.300003,37.5,,107436,40056,13.9,0,0,2,100,34.700001,11.1,6.060606,13.9,40056,64066,1
MT,30,Montana,State,2010,"989,415",9.6999998,6.8,59732,8600000US59732,ZCTA5 59732,.42289999,84,26.190475,44.047619,3.0699999,95.400002,38.799999,56667,74988,26012,5,0,0,0,97.165993,61.5,30.699999,0,5,26012,59732,1
NE,31,Nebraska,State,2010,"1,826,341",6.6999998,23.8,68938,8600000US68938,ZCTA5 68938,.4228,242,20.247934,76.446281,2.1500001,96.699997,15.2,52143,64395,29075,12.3,2.6431718,0,5,97.590363,46,18.799999,1.004016,12.3,29075,68938,1
NV,32,Nevada,State,2010,"2,700,551",35.099998,24.6,89145,8600000US89145,ZCTA5 89145,.4962,9614,11.59767,85.739548,2.55,88.900002,24.799999,56424,84422,34468,12.6,7.3672142,.083447866,1376,70.893753,43.700001,17.799999,5.8339691,12.6,34468,89145,1
NH,33,New Hampshire,State,2010,"1,316,470",6.5,147,3102,8600000US03102,ZCTA5 03102,.40849999,13248,14.424819,82.872887,2.28,86.900002,25.6,52677,63852,27333,9.5,5.9274173,.03363857,3253,80.044662,34.799999,14,10.84261,9.5,27333,3102,0
NJ,34,New Jersey,State,2010,"8,791,894",4.5,1195.5,7860,8600000US07860,ZCTA5 07860,.42199999,9646,14.171678,81.992538,2.5599999,92.199997,34.099998,82716,100865,38998,7.5999999,5.7069297,.018560624,1534,90.112038,44.299999,18,6.2497454,7.5999999,38998,7860,0
NM,35,New Mexico,State,2010,"2,059,179",13.2,17,87418,8600000US87418,ZCTA5 87418,.54460001,360,25.833334,74.166664,2.6600001,89.199997,21.299999,66842,107670,41357,12.6,3.2454362,0,30,88.017426,42.5,15.5,3.2679739,12.6,41357,87418,1
NY,36,New York,State,2010,"19,378,102",2.0999999,411.2,12436,8600000US12436,ZCTA5 12436,.2649,78,100,0,,100,17.9,,76618,76618,0,0,0,0,100,52.900002,42.299999,0,0,76618,12436,0
NC,37,North Carolina,State,2010,"9,535,483",18.5,196.1,28540,8600000US28540,ZCTA5 28540,.39860001,17572,15.541771,81.117691,2.76,90.699997,21.5,48377,58111,22457,11.1,10.02323,13.097971,3947,91.202934,28.799999,9.3999996,8.8351164,11.1,22457,28540,0
ND,38,North Dakota,State,2010,"672,591",4.6999998,9.699999999999999,58053,8600000US58053,ZCTA5 58053,.41819999,546,41.20879,54.761906,2.1700001,83.900002,17,45833,56706,26099,2.2,4.1894355,0,10,98.137802,47.299999,26.299999,.9310987,2.2,26099,58053,1
OH,39,Ohio,State,2010,"11,536,504",1.6,282.3,44070,8600000US44070,ZCTA5 44070,.3924,13134,13.316583,84.026192,2.4000001,92.099998,29.799999,62115,76255,32009,7.8000002,5.0294151,.063969895,2087,85.759911,45.400002,19.9,6.8714604,7.8000002,32009,44070,0
OK,40,Oklahoma,State,2010,"3,751,351",8.6999998,54.7,74421,8600000US74421,ZCTA5 74421,.40239999,1738,29.516685,66.513237,2.5799999,85.400002,16.200001,49653,61333,24300,12.9,7.0829449,0,115,98.898071,42,16.6,2.6400368,12.9,24300,74421,1
OR,41,Oregon,State,2010,"3,831,074",12,39.9,97830,8600000US97830,ZCTA5 97830,.43079999,351,25.641026,66.381767,2.1300001,91.900002,14.7,32125,43123,19842,8.3999996,8.7837839,0,33,95.983383,54.799999,32.400002,4.5706372,8.3999996,19842,97830,1
PA,42,Pennsylvania,State,2010,"12,702,379",3.4000001,283.9,19453,8600000US19453,ZCTA5 19453,.43779999,661,11.649016,85.930405,1.78,98.800003,25.6,59896,75646,42718,3.9000001,0,0,13,97.444633,52,13.2,1.1073254,3.9000001,42718,19453,0
RI,44,Rhode Island,State,2010,"1,052,567",.40000001,1018.1,2841,8600000US02841,ZCTA5 02841,,0,,,,100,77.300003,,,45605,,0,90.860573,298,83.855904,26.700001,0,19.879919,,45605,2841,0
SC,45,South Carolina,State,2010,"4,625,364",15.3,153.9,29915,8600000US29915,ZCTA5 29915,.40799999,193,7.7720208,90.155441,2.1199999,100,58.599998,139135,192972,90315,2.7,0,0,15,97.493736,73.099998,69,3.7593985,2.7,90315,29915,0
SD,46,South Dakota,State,2010,"814,180",7.9000001,10.7,57562,8600000US57562,ZCTA5 57562,.1202,14,0,100,4.29,100,26.5,44286,51543,15487,11.7,0,0,0,100,45.599998,0,0,11.7,15487,57562,1
TN,47,Tennessee,State,2010,"6,346,105",11.5,153.9,38047,8600000US38047,ZCTA5 38047,.33649999,50,56,44,2.3800001,77.900002,0,29318,42182,17984,0,0,0,0,100,44,17.6,0,0,17984,38047,0
TX,48,Texas,State,2010,"25,145,561",20.6,96.3,79057,8600000US79057,ZCTA5 79057,.41890001,538,28.438662,66.35688,2.8900001,85,16.5,55703,64462,24099,18.5,2.4539878,0,52,88.544472,38.400002,22.199999,3.5040431,18.5,24099,79057,1
UT,49,Utah,State,2010,"2,763,885",23.799999,33.6,84071,8600000US84071,ZCTA5 84071,.33419999,335,13.432836,84.179108,2.72,92.099998,18.799999,69417,78754,29453,7.0999999,2.3157895,0,31,96.484848,41.900002,14.099999,3.7575758,7.0999999,29453,84071,1
VT,50,Vermont,State,2010,"625,741",2.8,67.90000000000001,5842,8600000US05842,ZCTA5 05842,.37779999,182,17.582418,81.31868,2.72,86.699997,25.299999,54167,69419,24372,2.4000001,5.928854,1.1019284,21,97.272728,36.299999,13.9,4.7727275,2.4000001,24372,5842,1
VA,51,Virginia,State,2010,"8,001,024",13,202.6,23069,8600000US23069,ZCTA5 23069,.37740001,1069,23.479887,73.807297,2.6099999,89.5,24.700001,72311,88228,31017,6.4000001,5.3801169,0,238,97.29081,44.5,15.9,8.1618652,6.4000001,31017,23069,0
WA,53,Washington,State,2010,"6,724,540",14.1,101.2,98252,8600000US98252,ZCTA5 98252,.405,3740,15.347593,81.016045,2.5599999,93.300003,16.700001,78000,86606,34341,5.9000001,3.7815976,.52570844,228,90.573235,41.599998,13.1,2.4847429,5.9000001,34341,98252,0
WV,54,West Virginia,State,2010,"1,852,994",2.5,77.09999999999999,25442,8600000US25442,ZCTA5 25442,.45039999,673,11.144131,78.306091,2.5999999,86.099998,25.700001,53875,73272,28896,12.6,10.612245,0,177,98.829727,35.599998,11.900001,10.356934,12.6,28896,25442,1
WI,55,Wisconsin,State,2010,"5,686,986",6,105,53954,8600000US53954,ZCTA5 53954,.34650001,2844,18.952181,77.707451,2.4000001,92.5,19,66358,74601,30869,5.6999998,3.1578948,.10924982,240,95.102417,43.900002,17.9,3.6962883,5.6999998,30869,53954,0
WY,56,Wyoming,State,2010,"563,626",14.1,5.8,82732,8600000US82732,ZCTA5 82732,.30770001,841,9.9881096,88.82283,2.3800001,91.800003,10.2,78432,88037,35630,10.6,.52539402,0,45,85.0355,33,5.0999999,2.4576733,10.6,35630,82732,1
PR,72,Puerto Rico,State,2010,"3,725,789",-2.2,1088.2,,,,,,,,,,,,,,,,,,,,,,,,,0
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36051,8600000US36051,ZCTA5 36051,.50209999,740,26.351351,67.297295,2.55,84.699997,12.4,41143,81312,32608,10.6,7.9299693,0,103,95.227768,41.099998,10.9,5.5856833,10.6,32608,36051,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35466,8600000US35466,ZCTA5 35466,.48190001,2051,37.250122,59.580692,2.5899999,85.400002,14.6,41305,57320,22859,8.1999998,15.550661,0,212,98.544655,42.299999,17.1,4.2264752,8.1999998,22859,35466,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35548,8600000US35548,ZCTA5 35548,.42199999,748,33.689838,60.962566,2.3499999,78.199997,7,32000,40337,17729,9,3.4539473,.42613637,62,98.184021,43.299999,22.6,3.7530267,9,17729,35548,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36502,8600000US36502,ZCTA5 36502,.47909999,5964,40.073776,57.629108,2.74,80.300003,10.8,34985,49246,16745,14.1,12.394491,0,653,98.691162,37.599998,14.599999,3.6681271,14.1,16745,36502,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36037,8600000US36037,ZCTA5 36037,.44870001,4754,33.1931,63.525452,2.76,81.699997,18.200001,38362,49737,20008,10.7,6.6281943,.18300906,418,98.105453,39.599998,16.299999,3.3698807,10.7,20008,36037,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35207,8600000US35207,ZCTA5 35207,.48050001,3357,40.631516,50.997913,2.6500001,78.400002,13.4,23170,34286,13808,16.1,12.061403,0,388,97.692116,35.5,16.299999,4.7630739,16.1,13808,35207,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36006,8600000US36006,ZCTA5 36006,.4271,486,32.716049,67.283951,2.78,76.800003,16.200001,50714,57978,21980,11.2,13.219285,0,113,98.113205,43.099998,19.300001,9.2698936,11.2,21980,36006,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35020,8600000US35020,ZCTA5 35020,.45609999,9995,40.44022,55.457729,2.6199999,80.5,9.6999998,27772,38896,15722,18.700001,15.064959,.037751876,1026,92.167824,38.900002,16.199999,4.1272779,18.700001,15722,35020,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36445,8600000US36445,ZCTA5 36445,.50160003,1716,56.526806,38.927738,2.6199999,80.800003,10.1,34722,44774,18035,13.8,16.144747,0,64,97.34597,39.099998,21.5,1.5165877,13.8,18035,36445,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35610,8600000US35610,ZCTA5 35610,.40259999,812,39.03941,60.221676,2.26,84.599998,11.3,40586,53719,24869,13.5,16.441208,0,97,100,46.099998,20.5,5.4678693,13.5,24869,35610,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36344,8600000US36344,ZCTA5 36344,.48280001,2204,24.228676,73.774956,2.5999999,79,11.7,41821,59208,23647,15.1,10.609117,0,146,97.393196,42.700001,18.6,2.6430123,15.1,23647,36344,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35211,8600000US35211,ZCTA5 35211,.46880001,11335,34.142036,59.814732,2.2,84.699997,22.799999,30941,41819,19896,13.5,12.900196,.17883036,1719,96.308151,38.400002,17.6,7.3367476,13.5,19896,35211,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36277,8600000US36277,ZCTA5 36277,.42739999,1928,21.524897,75.466805,2.6700001,88.5,13.8,49808,66033,25156,10.4,9.4713659,0,281,94.360039,37.099998,19.200001,5.8480749,10.4,25156,36277,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35481,8600000US35481,ZCTA5 35481,.47229999,1519,36.208031,62.870308,2.3900001,78.199997,6.0999999,27702,42803,19645,7.5,10.552408,0,149,97.131386,48.400002,24.299999,4.27424,7.5,19645,35481,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36078,8600000US36078,ZCTA5 36078,.43709999,4835,22.978283,73.402275,2.6099999,83.199997,18.200001,51393,62996,24336,7.5999999,11.579877,0,767,96.806023,38.5,15.400001,6.4130435,7.5999999,24336,36078,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35205,8600000US35205,ZCTA5 35205,.56379998,9682,22.113199,71.545135,1.85,92.099998,48.400002,34399,58946,28904,13.9,7.8977456,.16149001,5366,87.654755,29,10.3,27.116076,13.9,28904,35205,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36272,8600000US36272,ZCTA5 36272,.45860001,5214,29.631762,64.058304,2.4300001,76.900002,10.9,36762,49196,21019,11.4,5.4429646,0,328,99.072632,45.400002,15.9,2.6918342,11.4,21019,36272,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36476,8600000US36476,ZCTA5 36476,.1663,17,100,0,3.3499999,43.200001,16.200001,17708,18953,6118,10.5,42.857143,0,0,100,52.099998,26.299999,0,10.5,6118,36476,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36255,8600000US36255,ZCTA5 36255,.42770001,345,37.391304,60.579712,2.1800001,68.099998,5.1999998,43005,49168,22233,4,0,0,0,98.668442,39,22,0,4,22233,36255,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35959,8600000US35959,ZCTA5 35959,.463,1938,24.097008,66.04747,2.3900001,77.300003,12,41053,53836,21923,7.9000001,5.0837665,0,227,99.257423,47.299999,21.9,5.1080108,7.9000001,21923,35959,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35032,8600000US35032,ZCTA5 35032,.19660001,17,17.647058,82.352943,3.6500001,90.199997,12.2,27321,33635,10121,4.8000002,0,0,0,100,51.700001,25.800001,0,4.8000002,10121,35032,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35578,8600000US35578,ZCTA5 35578,.43759999,2252,36.767319,57.460037,2.5999999,75.199997,11.4,34805,50664,20899,8.5,16.215015,.14601585,91,98.643028,45.900002,18.700001,1.6464628,8.5,20899,35578,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35043,8600000US35043,ZCTA5 35043,.3132,3567,9.027194,89.318756,3.0599999,95.599998,41.900002,91875,94031,31396,3.4000001,4.6140037,0,867,95.091248,37.099998,11.6,8.4610128,3.4000001,31396,35043,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35441,8600000US35441,ZCTA5 35441,.4993,372,46.505375,51.881721,2.98,81.099998,15.3,36731,58859,20509,11.4,11.658031,0,33,98.572784,40.200001,11.7,3.1398668,11.4,20509,35441,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35671,8600000US35671,ZCTA5 35671,.48300001,942,21.443737,64.225052,2.5599999,89.400002,26.299999,31507,55137,24102,23.799999,9.1283455,0,255,79.779251,39.700001,10,11.258278,23.799999,24102,35671,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36701,8600000US36701,ZCTA5 36701,.49419999,9111,33.838219,61.936123,2.4400001,83.199997,17.799999,31916,47773,19688,11.2,10.513608,.16337962,1050,97.67086,39,16.700001,5.0217609,11.2,19688,36701,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36401,8600000US36401,ZCTA5 36401,.4585,2986,53.148026,43.201607,2.71,80.900002,8.5,28968,38029,15390,16.6,18.669817,0,276,97.45298,42.900002,20.700001,3.6050158,16.6,15390,36401,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35620,8600000US35620,ZCTA5 35620,.41100001,3159,24.089901,69.547325,2.5899999,82.300003,13.1,49144,61016,24920,9.6999998,6.6306863,0,307,97.382332,41,14.5,3.9587362,9.6999998,24920,35620,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35210,8600000US35210,ZCTA5 35210,.48159999,5867,22.447588,74.416229,2.24,88.5,32.900002,44975,67275,30441,14.3,5.8228579,0,517,90.063858,42.400002,18.799999,3.9303634,14.3,30441,35210,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36115,8600000US36115,ZCTA5 36115,.4675,256,0,95.3125,3.22,97.800003,25.200001,56406,87649,29160,.60000002,3.2608695,37.477798,136,93.758125,23.700001,0,17.685305,.60000002,29160,36115,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36345,8600000US36345,ZCTA5 36345,.4215,3277,20.140373,76.106194,2.5899999,83.900002,21.6,52611,67251,25908,8.3999996,5.9059057,0,275,97.625893,41.299999,17.9,3.4362113,8.3999996,25908,36345,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36507,8600000US36507,ZCTA5 36507,.4438,6955,27.807333,68.684402,2.95,84.699997,14.5,40099,54618,20097,10.7,4.8929663,.043257941,752,98.529488,37.099998,16.4,3.813194,10.7,20097,36507,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36371,8600000US36371,ZCTA5 36371,.46880001,275,34.18182,64.36364,2.23,86.400002,15.5,34671,57553,26244,8.3000002,1.9417475,0,19,98.75,47,24.5,3.3928571,8.3000002,26244,36371,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36544,8600000US36544,ZCTA5 36544,.4646,3847,36.05407,62.152325,2.75,73.099998,7.3000002,39756,53884,20189,16.5,10.052576,0,542,86.926811,40.200001,14.5,5.3679309,16.5,20189,36544,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36603,8600000US36603,ZCTA5 36603,.51230001,2716,51.620029,42.857143,2.3900001,70.599998,8.6999998,20714,34307,12890,17.200001,14.933018,0,540,98.420525,35.900002,11.5,4.9301562,17.200001,12890,36603,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36256,8600000US36256,ZCTA5 36256,.40310001,668,28.293413,69.161674,2.5899999,82.199997,14,50000,61387,23634,7.3000002,2.0665901,0,58,98.809525,43.099998,16.299999,3.4523809,7.3000002,23634,36256,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35006,8600000US35006,ZCTA5 35006,.44580001,1087,37.166512,59.153633,2.6600001,84.5,12,41540,54219,20914,10.5,8.3076925,0,64,98.022705,43,15.5,2.3434639,10.5,20914,35006,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35007,8600000US35007,ZCTA5 35007,.3601,8628,11.787205,84.886414,3,87.699997,29.5,69691,77192,26498,12.2,4.2782445,0,1435,88.795395,36.700001,11.3,5.8616886,12.2,26498,35007,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36109,8600000US36109,ZCTA5 36109,.4138,9858,17.031853,80.716171,2.3699999,91,31.5,51449,66307,27896,9.1999998,5.3799038,.24055327,2043,96.118553,40.299999,19.200001,8.9703627,9.1999998,27896,36109,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36267,8600000US36267,ZCTA5 36267,.0867,23,100,0,3.4300001,37.5,0,,,12651,10.1,0,0,0,100,53,0,0,10.1,12651,36267,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35630,8600000US35630,ZCTA5 35630,.46349999,14925,30.110552,63.497486,2.0699999,82.900002,23,32702,44246,20849,13.4,7.0101075,.20198376,4822,94.693459,35.299999,18.1,15.405258,13.4,20849,35630,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35135,8600000US35135,ZCTA5 35135,.42340001,739,17.050068,78.213806,2.72,91.5,17.6,52656,65986,25498,4.0999999,2.6365349,0,62,87.765091,35.299999,8.8999996,3.3713975,4.0999999,25498,35135,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36113,8600000US36113,ZCTA5 36113,.3154,275,2.909091,93.454544,3.3399999,91.900002,29.4,87250,87222,19652,.89999998,3.6269431,22.298693,142,87.859612,35.299999,2.9000001,8.170311,.89999998,19652,36113,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36091,8600000US36091,ZCTA5 36091,.4919,1455,43.711342,48.316151,2.3800001,88.5,15.2,43351,64517,28776,18.299999,.73382252,0,174,93.797279,39.599998,16.799999,5.2647505,18.299999,28776,36091,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36695,8600000US36695,ZCTA5 36695,.4285,18544,9.485548,86.329811,2.74,95,40.099998,67926,85782,32067,6.4000001,5.4677958,.83699888,3867,92.644066,35.900002,13.2,8.11798,6.4000001,32067,36695,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36521,8600000US36521,ZCTA5 36521,.36629999,2034,28.121927,67.994102,2.6600001,80.400002,5.5,50855,59615,23247,11,4.8319325,0,217,97.975952,41.900002,19.299999,4.3486972,11,23247,36521,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,36260,8600000US36260,ZCTA5 36260,.4082,1530,31.17647,62.61438,2.6199999,76.900002,9.1999998,40620,49147,19497,7.5999999,1.5929203,0,52,98.553101,40,15,1.4196014,7.5999999,19497,36260,1
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35456,8600000US35456,ZCTA5 35456,.4093,1132,17.13781,73.409897,3.01,84.099998,11.4,49495,63092,25253,6.8000002,10.049973,0,184,100,45.599998,12.9,5.6114669,6.8000002,25253,35456,1
